"","track_name","movie_title","trilogy","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence"
"127","“Chrome Dome”","The Last Jedi","Sequel",0.324,0.343,0.0399,0.617,0.867,0.137,0.114
"128","The Battle of Crait","The Last Jedi","Sequel",0.201,0.449,0.0455,0.764,0.91,0.425,0.0907
"129","The Spark","The Last Jedi","Sequel",0.14,0.0744,0.0356,0.942,0.873,0.0936,0.0347
"130","The Last Jedi","The Last Jedi","Sequel",0.0646,0.294,0.0416,0.84,0.914,0.129,0.0528
"131","Peace and Purpose","The Last Jedi","Sequel",0.154,0.145,0.0387,0.931,0.929,0.208,0.0396
"132","Finale","The Last Jedi","Sequel",0.184,0.296,0.0382,0.881,0.87,0.0838,0.043
"133","Fanfare and Prologue","The Rise of Skywalker","Sequel",0.0783,0.276,0.0401,0.352,0.943,0.165,0.0399
"134","Journey to Exegol","The Rise of Skywalker","Sequel",0.253,0.326,0.0419,0.704,0.836,0.156,0.173
"135","The Rise of Skywalker","The Rise of Skywalker","Sequel",0.17,0.152,0.0364,0.927,0.901,0.0854,0.038
"136","The Old Death Star","The Rise of Skywalker","Sequel",0.17,0.0894,0.0357,0.781,0.911,0.0847,0.0468
"137","The Speeder Chase","The Rise of Skywalker","Sequel",0.439,0.348,0.0318,0.805,0.664,0.236,0.13
"138","Destiny of a Jedi","The Rise of Skywalker","Sequel",0.0928,0.048,0.0399,0.957,0.927,0.109,0.0365
"139","Anthem of Evil","The Rise of Skywalker","Sequel",0.192,0.0506,0.038,0.955,0.95,0.108,0.0386
"140","Fleeing from Kijimi","The Rise of Skywalker","Sequel",0.205,0.188,0.0405,0.913,0.919,0.286,0.0398
"141","We Go Together","The Rise of Skywalker","Sequel",0.0715,0.103,0.0411,0.905,0.943,0.0846,0.0413
"142","Join Me","The Rise of Skywalker","Sequel",0.0703,0.218,0.0391,0.454,0.907,0.196,0.0375
"143","They Will Come","The Rise of Skywalker","Sequel",0.364,0.151,0.033,0.937,0.912,0.114,0.153
"144","The Final Saber Duel","The Rise of Skywalker","Sequel",0.137,0.073,0.034,0.843,0.875,0.109,0.0392
"145","Battle of the Resistance","The Rise of Skywalker","Sequel",0.233,0.407,0.0659,0.773,0.908,0.402,0.213
"146","Approaching the Throne","The Rise of Skywalker","Sequel",0.0806,0.235,0.0369,0.799,0.952,0.101,0.0627
"147","The Force Is with You","The Rise of Skywalker","Sequel",0.0813,0.255,0.0382,0.916,0.936,0.101,0.0374
"148","Farewell","The Rise of Skywalker","Sequel",0.137,0.102,0.0389,0.922,0.864,0.0978,0.0369
"149","Reunion","The Rise of Skywalker","Sequel",0.125,0.187,0.0375,0.868,0.888,0.222,0.0717
"150","A New Home","The Rise of Skywalker","Sequel",0.189,0.0754,0.0388,0.962,0.951,0.0747,0.056
"151","Finale","The Rise of Skywalker","Sequel",0.128,0.374,0.0385,0.695,0.912,0.143,0.0701
