"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_name","track_number","album_name","key_name","mode_name","key_mode"
"John Williams","2015-12-18",2015,0.0773,0.0288,6,-25.074,1,0.0373,0.934,0.946,0.417,0.0376,70.406,118733,"That Girl with the Staff",8,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","F#","major","F# major"
"John Williams","2015-12-18",2015,0.313,0.39,7,-12.706,1,0.0522,0.846,0.863,0.109,0.094,129.331,245520,"The Rathtars!",9,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","G","major","G major"
"John Williams","2015-12-18",2015,0.214,0.0882,4,-22.076,0,0.0392,0.951,0.932,0.253,0.0372,86.663,128733,"Finn's Confession",10,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","E","minor","E minor"
"John Williams","2015-12-18",2015,0.133,0.0133,2,-24.976,0,0.043,0.966,0.741,0.0792,0.0327,74.99,187853,"Maz's Counsel",11,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2015-12-18",2015,0.169,0.089,9,-23.308,0,0.0436,0.946,0.835,0.0934,0.0301,88.408,111466,"The Starkiller",12,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","A","minor","A minor"
"John Williams","2015-12-18",2015,0.242,0.302,9,-14.991,1,0.0522,0.881,0.942,0.136,0.0554,123.185,121440,"Kylo Ren Arrives at the Battle",13,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","A","major","A major"
"John Williams","2015-12-18",2015,0.159,0.23,2,-15.441,0,0.033,0.672,0.848,0.0951,0.0632,84.933,145293,"The Abduction",14,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2015-12-18",2015,0.0836,0.0223,6,-22.6,0,0.0453,0.968,0.948,0.0912,0.0387,170.502,281426,"Han and Leia",15,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","F#","minor","F# minor"
"John Williams","2015-12-18",2015,0.608,0.398,7,-9.625,0,0.0295,0.88,0.915,0.144,0.487,101.955,155906,"March of the Resistance",16,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","G","minor","G minor"
"John Williams","2015-12-18",2015,0.0753,0.00822,2,-38.384,1,0.0416,0.896,0.948,0.117,0.0333,81.373,123013,"Snoke",17,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","D","major","D major"
"John Williams","2015-12-18",2015,0.32,0.0802,5,-19.48,0,0.037,0.96,0.882,0.101,0.0357,58.171,125960,"On the Inside",18,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","F","minor","F minor"
"John Williams","2015-12-18",2015,0.078,0.128,6,-14.775,0,0.0444,0.921,0.855,0.0725,0.0374,79.208,259066,"Torn Apart",19,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","F#","minor","F# minor"
"John Williams","2015-12-18",2015,0.172,0.307,5,-14.977,0,0.0372,0.871,0.941,0.11,0.0491,77.818,194960,"The Ways of the Force",20,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","F","minor","F minor"
"John Williams","2015-12-18",2015,0.37,0.431,2,-10.02,0,0.0425,0.787,0.839,0.357,0.327,135.875,152146,"Scherzo for X-Wings",21,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2015-12-18",2015,0.149,0.117,2,-16.079,0,0.0367,0.961,0.846,0.0884,0.0373,102.437,295586,"Farewell and The Trip",22,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2015-12-18",2015,0.234,0.27,7,-12.99,0,0.0342,0.908,0.941,0.0788,0.0738,134.379,531586,"The Jedi Steps and Finale",23,"Star Wars: The Force Awakens (Original Motion Picture Soundtrack)","G","minor","G minor"
"John Williams","2005-05-03",2005,0.267,0.405,5,-15.683,1,0.0605,0.377,0.848,0.163,0.21,96.454,449373,"Star Wars and the Revenge of the Sith",1,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","2005-05-03",2005,0.138,0.0302,4,-27.728,0,0.0428,0.883,0.918,0.251,0.0376,141.32,284720,"Anakin's Dream",2,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","E","minor","E minor"
"John Williams","2005-05-03",2005,0.174,0.298,0,-15.017,0,0.033,0.783,0.953,0.14,0.133,89.962,222600,"Battle of the Heroes",3,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","C","minor","C minor"
"John Williams","2005-05-03",2005,0.143,0.174,9,-17.379,0,0.0354,0.772,0.925,0.091,0.0385,138.947,245320,"Anakin's Betrayal",4,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","A","minor","A minor"
"John Williams","2005-05-03",2005,0.31,0.45,5,-14.438,0,0.0479,0.41,0.748,0.0959,0.18,156.837,245840,"General Grievous",5,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","F","minor","F minor"
"John Williams","2005-05-03",2005,0.0655,0.0122,1,-28.627,0,0.0386,0.865,0.954,0.116,0.0366,74.462,325066,"Palpatine's Teachings",6,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","C#","minor","C# minor"
"John Williams","2005-05-03",2005,0.223,0.406,8,-14.605,1,0.0417,0.525,0.913,0.245,0.124,155.522,207066,"Grievous and the Droids",7,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","G#","major","G# major"
"John Williams","2005-05-03",2005,0.0881,0.0103,2,-31.523,1,0.0464,0.0913,0.889,0.109,0.0321,85.536,198000,"Padmé's Ruminations",8,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","D","major","D major"
